iteration,reward_mean,length_mean,games,loss
2000,-1.0,2.0,9,0.038413699716329575
4000,-1.0,2.0,8,0.011633691377937794
6000,-1.0,2.0,8,0.010678851045668125
8000,-1.0,2.0,8,0.010034882463514805
10000,-0.4,2.0,10,0.0030060787685215473
12000,-1.0,2.0,8,0.003904506331309676
14000,-0.25,2.0,8,0.001391629921272397
16000,0.0,2.0,8,0.00790440198034048
18000,0.0,2.0,8,0.001706638839095831
20000,0.0,2.0,8,0.0019360576989129186
22000,0.0,2.0,8,0.003531182184815407
24000,-0.12,2.12,8,0.0009058393770828843
26000,0.0,2.0,8,0.003115370636805892
28000,0.0,2.0,8,0.0014621480368077755
30000,0.25,2.25,8,0.0012672179145738482
32000,0.0,2.0,8,0.000780481263063848
34000,0.33,2.56,9,0.001835195696912706
36000,0.38,2.38,8,0.0036948074121028185
38000,0.25,2.25,8,0.0014694714918732643
40000,0.25,2.25,8,0.0010553670581430197
42000,0.25,2.25,8,0.0006225894903764129
44000,0.9,3.3,10,0.0030214504804462194
46000,0.89,3.33,9,0.004512347746640444
48000,0.5,2.62,8,0.0012864512391388416
50000,0.38,2.5,8,0.002724009333178401
52000,0.25,2.25,8,0.001619468443095684
54000,1.0,3.12,8,0.0013911015121266246
56000,1.0,3.22,9,0.004521732218563557
58000,0.62,2.75,8,0.0037573245353996754
60000,0.62,2.62,8,0.0022917729802429676
62000,1.56,3.89,9,0.00464129913598299
64000,0.88,3.0,8,0.004013797268271446
66000,2.75,5.75,8,0.0016086481045931578
68000,0.88,2.88,8,0.0021356847137212753
70000,1.89,4.33,9,0.002903806045651436
72000,3.38,6.38,8,0.008333520963788033
74000,1.89,4.44,9,0.0019910363480448723
76000,2.88,5.88,8,0.002405395032837987
78000,1.67,4.0,9,0.003305274760350585
80000,3.0,6.0,8,0.004780522082000971
82000,3.5,6.5,8,0.004194304812699556
84000,3.89,6.89,9,0.005084493663161993
86000,5.38,8.38,8,0.0038209364283829927
88000,4.12,7.12,8,0.004441170487552881
90000,3.38,6.38,8,0.00530317472293973
92000,5.38,8.38,8,0.009752643294632435
94000,4.62,7.62,8,0.007475546561181545
96000,5.62,8.62,8,0.0036033059004694223
98000,6.5,9.5,8,0.009841585531830788
100000,4.88,7.88,8,0.003128024283796549
102000,4.56,7.56,9,0.0038440695498138666
104000,3.88,6.88,8,0.010821718722581863
106000,7.75,10.75,8,0.004385010339319706
108000,6.88,9.88,8,0.00435281079262495
110000,4.12,7.12,8,0.0035271155647933483
112000,5.38,8.38,8,0.004822607152163982
114000,4.38,7.38,8,0.012253031134605408
116000,7.12,10.12,8,0.010245850309729576
118000,4.38,7.38,8,0.0058528040535748005
120000,7.62,10.62,8,0.005305344704538584
122000,5.75,8.75,8,0.0032549374736845493
124000,6.38,9.38,8,0.011255667544901371
126000,8.88,11.88,8,0.003807184286415577
128000,7.25,10.25,8,0.013493966311216354
130000,9.12,12.12,8,0.00415367167443037
132000,7.25,10.25,8,0.0037339990958571434
134000,11.0,14.0,8,0.013703894801437855
136000,9.38,12.38,8,0.013813510537147522
138000,6.62,9.62,8,0.007175215985625982
140000,7.88,10.88,8,0.004147222265601158
142000,12.0,15.0,8,0.003737166989594698
144000,7.38,10.38,8,0.003905115183442831
146000,11.25,14.25,8,0.011721203103661537
148000,10.0,13.0,8,0.0035488305147737265
150000,7.88,10.88,8,0.0043074288405478
152000,8.38,11.38,8,0.004476642701774836
154000,7.12,10.12,8,0.006490400992333889
156000,11.62,14.62,8,0.030841868370771408
158000,10.25,13.25,8,0.016112903133034706
160000,7.25,10.25,8,0.008065142668783665
162000,9.25,12.25,8,0.0026034715119749308
164000,12.62,15.62,8,0.011534648947417736
166000,15.38,18.38,8,0.003355406690388918
168000,10.12,13.12,8,0.02225496433675289
170000,9.11,12.11,9,0.015233923681080341
172000,9.88,12.88,8,0.018325544893741608
174000,12.75,15.75,8,0.0037205249536782503
176000,9.25,12.25,8,0.0042441654950380325
178000,10.62,13.62,8,0.003298357827588916
180000,10.38,13.38,8,0.005379257723689079
182000,8.12,11.12,8,0.0038125317078083754
184000,8.38,11.38,8,0.023246698081493378
186000,15.0,18.0,8,0.004225399345159531
188000,14.78,17.78,9,0.008621126413345337
190000,11.62,14.62,8,0.003939407411962748
192000,12.88,15.88,8,0.00724523700773716
194000,15.38,18.38,8,0.0064317286014556885
196000,11.25,14.25,8,0.02337760105729103
198000,12.62,15.62,8,0.010269294492900372
200000,14.62,17.62,8,0.009172935038805008
202000,9.62,12.62,8,0.008018390275537968
204000,13.12,16.12,8,0.014532438479363918
206000,10.62,13.62,8,0.004338553640991449
208000,13.12,16.12,8,0.004677894059568644
210000,10.38,13.38,8,0.005218456033617258
212000,12.0,15.0,8,0.005431327503174543
214000,10.12,13.12,8,0.005781628657132387
216000,9.0,12.0,8,0.016326511278748512
218000,16.0,19.0,8,0.03808034956455231
220000,11.5,14.5,8,0.025796931236982346
222000,9.5,12.5,8,0.004542616195976734
224000,13.5,16.5,8,0.005811918061226606
226000,14.62,17.62,8,0.010623871348798275
228000,11.5,14.5,8,0.01005048118531704
230000,18.75,21.75,8,0.005103892181068659
232000,11.75,14.75,8,0.01010176446288824
234000,11.62,14.62,8,0.0033201633486896753
236000,9.5,12.5,8,0.00804633554071188
238000,14.0,17.0,8,0.009534314274787903
240000,14.5,17.5,8,0.008515497669577599
242000,11.38,14.38,8,0.010745350271463394
244000,12.88,15.88,8,0.021422484889626503
246000,14.38,17.38,8,0.007219415623694658
248000,12.5,15.5,8,0.005055360030382872
250000,18.5,21.5,8,0.04373622313141823
252000,12.0,15.0,8,0.0270191989839077
254000,13.38,16.38,8,0.0072048138827085495
256000,13.75,16.75,8,0.009728075005114079
258000,14.75,17.75,8,0.004551235120743513
260000,15.38,18.38,8,0.011506829410791397
262000,17.25,20.25,8,0.004721314180642366
264000,17.5,20.5,8,0.0051869736053049564
266000,14.75,17.75,8,0.011380358599126339
268000,15.62,18.62,8,0.013662341050803661
270000,12.75,15.75,8,0.0053286426700651646
272000,10.0,12.6,10,0.006241540424525738
274000,16.12,19.12,8,0.005510296672582626
276000,11.75,14.75,8,0.0050275009125471115
278000,12.88,15.88,8,0.031307995319366455
280000,10.33,12.89,9,0.01735915057361126
282000,17.88,20.88,8,0.011578250676393509
284000,15.12,18.12,8,0.021263161674141884
286000,15.88,18.88,8,0.00959570799022913
288000,13.62,16.62,8,0.05680374056100845
290000,16.88,19.88,8,0.012735331431031227
292000,15.88,18.88,8,0.011196581646800041
294000,11.62,14.62,8,0.003980061039328575
296000,12.0,15.0,8,0.006036260165274143
298000,11.4,14.0,10,0.015021060593426228
300000,14.38,17.38,8,0.0037765048909932375
302000,13.0,16.0,8,0.015410451218485832
304000,12.12,15.12,8,0.027750348672270775
