iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.026570405811071396
1000,-1.0,2.0,8,0.01641114056110382
1500,-1.0,2.0,8,0.016403423622250557
2000,-0.9,2.1,10,0.011462796479463577
2500,-1.0,2.0,9,0.006607632152736187
3000,-0.92,2.08,12,0.006836310960352421
3500,-1.0,2.0,8,0.00248626247048378
4000,-1.0,2.0,10,0.004015040118247271
4500,-1.0,2.0,8,0.003580372780561447
5000,-1.0,2.0,8,0.0008498243987560272
5500,-1.0,2.0,9,0.0009692757157608867
6000,-1.0,2.0,8,0.0012729611480608582
6500,-1.0,2.0,9,0.003355046734213829
7000,-1.0,2.0,8,0.0025711259804666042
7500,-1.0,2.0,8,0.0064463503658771515
8000,-0.88,2.12,8,0.0014057877706363797
8500,-1.0,2.0,8,0.002984168939292431
9000,-0.88,2.12,8,0.0005566335748881102
9500,-1.0,2.0,8,0.0016450908733531833
10000,-1.0,2.0,8,0.0006968836532905698
10500,-1.0,2.0,10,0.002472380641847849
11000,-1.0,2.0,8,0.004887539893388748
11500,-1.0,2.0,8,0.0007186580915004015
12000,-0.88,2.12,8,0.002546125091612339
12500,-1.0,2.0,9,0.002513433340936899
13000,-1.0,2.0,8,0.0009456670377403498
13500,-1.0,2.0,8,0.000761432689614594
14000,-1.0,2.0,9,0.0008984529413282871
14500,-1.0,2.0,9,0.00040219532093033195
15000,-1.0,2.0,8,0.0026635988615453243
15500,-1.0,2.0,8,0.000559438718482852
16000,-0.88,2.12,8,0.0024318236391991377
16500,-0.44,2.0,9,0.0005532061331905425
17000,-1.0,2.0,9,0.004079839214682579
17500,-0.88,2.12,8,0.0025875617284327745
18000,-1.0,2.0,8,0.0041154115460813046
18500,-1.0,2.0,8,0.0005893176421523094
19000,-0.5,2.1,10,0.0028721699491143227
19500,-1.0,2.0,8,0.0011603143066167831
20000,-0.44,2.11,9,0.005243378691375256
20500,-0.4,2.2,10,0.0007843378116376698
21000,-1.0,2.0,8,0.002796563785523176
21500,-1.0,2.0,8,0.002488713013008237
22000,-1.0,2.0,8,0.003242486622184515
22500,-0.6,2.0,10,0.0033855438232421875
23000,-0.36,2.0,11,0.0007015732116997242
23500,-0.5,2.0,10,0.0009018215932883322
24000,-0.5,2.1,10,0.0028799588326364756
24500,-0.33,2.0,9,0.000601286010351032
25000,-0.22,2.0,9,0.0005810828297398984
25500,-0.4,2.1,10,0.0010837746085599065
26000,0.12,2.12,8,0.0009114535641856492
26500,-0.2,2.2,10,0.0005880675744265318
27000,-0.38,2.0,8,0.0008300517220050097
27500,-0.38,2.12,8,0.0005065115983597934
28000,0.0,2.12,8,0.0022424543276429176
28500,-0.12,2.0,8,0.0001327134668827057
29000,0.1,2.4,10,0.0022852912079542875
29500,-0.3,2.2,10,0.0003323012206237763
30000,-0.45,2.09,11,0.0001624150900170207
30500,-0.27,2.27,11,0.0001703518646536395
31000,0.0,2.12,8,0.00029108740272931755
