iteration,reward_mean,length_mean,games,loss
2000,-1.0,2.0,8,0.021997125819325447
4000,-1.0,2.0,8,0.009182561188936234
6000,-1.0,2.0,8,0.007483798079192638
8000,0.75,2.12,8,0.0027274976018816233
10000,0.0,2.0,8,0.0017666583880782127
12000,0.0,2.0,8,0.0055004144087433815
14000,1.25,2.12,8,0.0035899255890399218
16000,0.0,2.0,8,0.009159021079540253
18000,0.0,2.0,8,0.000943741062656045
20000,0.0,2.0,8,0.005676163826137781
22000,0.0,2.0,8,0.000802982016466558
24000,0.0,2.0,8,0.0015048300847411156
26000,1.25,2.12,8,0.0032493225298821926
28000,3.62,2.38,8,0.002510343212634325
30000,3.75,2.38,8,0.000550515134818852
32000,4.88,2.5,8,0.0005393853643909097
34000,0.0,2.0,8,0.002205685479566455
36000,1.25,2.12,8,0.001972181024029851
38000,13.5,3.38,8,0.0011470775352790952
40000,2.38,2.25,8,0.004683411680161953
42000,11.89,3.22,9,0.004800182767212391
44000,4.88,2.5,8,0.005162745248526335
46000,4.88,2.5,8,0.0037347248289734125
48000,3.75,2.38,8,0.004158020950853825
50000,5.0,2.5,8,0.0014750282280147076
52000,7.5,2.75,8,0.0028265321161597967
54000,6.12,2.62,8,0.004482368007302284
56000,13.38,3.38,8,0.0019632307812571526
58000,6.25,2.62,8,0.0024952534586191177
60000,16.33,3.67,9,0.002897437661886215
62000,14.11,3.44,9,0.0023039320949465036
64000,8.62,2.88,8,0.002126535167917609
66000,40.11,6.11,9,0.004099401645362377
68000,23.25,4.38,8,0.005652611143887043
70000,34.0,5.5,8,0.008129110559821129
72000,18.44,3.89,9,0.0039698276668787
74000,46.5,6.75,8,0.0031385007314383984
76000,37.75,5.88,8,0.004037192091345787
78000,29.0,5.0,8,0.007800569757819176
80000,49.0,7.0,8,0.004326869733631611
82000,62.75,8.38,8,0.01376243494451046
84000,42.75,6.38,8,0.01568959280848503
86000,44.0,6.5,8,0.00605654064565897
88000,54.0,7.5,8,0.0036515365354716778
90000,60.25,8.12,8,0.010188811458647251
92000,51.5,7.25,8,0.00653500109910965
94000,40.25,6.12,8,0.008367243222892284
96000,50.25,7.12,8,0.014446684159338474
98000,69.0,9.0,8,0.003781089326366782
100000,45.25,6.62,8,0.005284465383738279
